nom,classe,chemin,taille_ko,corrompue,format,mode,largeur,hauteur,canaux,ecart_type
cardboard1.jpg,cardboard,../data/raw\cardboard\cardboard1.jpg,16.93,False,JPEG,RGB,512.0,384.0,3.0,31.88
cardboard10.jpg,cardboard,../data/raw\cardboard\cardboard10.jpg,21.17,False,JPEG,RGB,512.0,384.0,3.0,38.8
cardboard100.jpg,cardboard,../data/raw\cardboard\cardboard100.jpg,14.54,False,JPEG,RGB,512.0,384.0,3.0,44.5
cardboard101.jpg,cardboard,../data/raw\cardboard\cardboard101.jpg,13.95,False,JPEG,RGB,512.0,384.0,3.0,68.56
cardboard102.jpg,cardboard,../data/raw\cardboard\cardboard102.jpg,17.59,False,JPEG,RGB,512.0,384.0,3.0,45.32
cardboard103.jpg,cardboard,../data/raw\cardboard\cardboard103.jpg,20.61,False,JPEG,RGB,512.0,384.0,3.0,35.71
cardboard104.jpg,cardboard,../data/raw\cardboard\cardboard104.jpg,16.82,False,JPEG,RGB,512.0,384.0,3.0,31.95
cardboard105.jpg,cardboard,../data/raw\cardboard\cardboard105.jpg,23.84,False,JPEG,RGB,512.0,384.0,3.0,42.67
cardboard106.jpg,cardboard,../data/raw\cardboard\cardboard106.jpg,25.77,False,JPEG,RGB,512.0,384.0,3.0,52.76
cardboard107.jpg,cardboard,../data/raw\cardboard\cardboard107.jpg,24.77,False,JPEG,RGB,512.0,384.0,3.0,34.05
cardboard108.jpg,cardboard,../data/raw\cardboard\cardboard108.jpg,24.96,False,JPEG,RGB,512.0,384.0,3.0,34.76
cardboard109.jpg,cardboard,../data/raw\cardboard\cardboard109.jpg,16.25,False,JPEG,RGB,512.0,384.0,3.0,47.79
cardboard11.jpg,cardboard,../data/raw\cardboard\cardboard11.jpg,19.97,False,JPEG,RGB,512.0,384.0,3.0,45.95
cardboard110.jpg,cardboard,../data/raw\cardboard\cardboard110.jpg,16.96,False,JPEG,RGB,512.0,384.0,3.0,17.84
cardboard111.jpg,cardboard,../data/raw\cardboard\cardboard111.jpg,24.3,False,JPEG,RGB,512.0,384.0,3.0,44.62
cardboard112.jpg,cardboard,../data/raw\cardboard\cardboard112.jpg,18.57,False,JPEG,RGB,512.0,384.0,3.0,66.36
cardboard113.jpg,cardboard,../data/raw\cardboard\cardboard113.jpg,19.67,False,JPEG,RGB,512.0,384.0,3.0,51.16
cardboard114.jpg,cardboard,../data/raw\cardboard\cardboard114.jpg,16.08,False,JPEG,RGB,512.0,384.0,3.0,46.98
cardboard115.jpg,cardboard,../data/raw\cardboard\cardboard115.jpg,15.92,False,JPEG,RGB,512.0,384.0,3.0,35.88
cardboard116.jpg,cardboard,../data/raw\cardboard\cardboard116.jpg,14.89,False,JPEG,RGB,512.0,384.0,3.0,59.75
cardboard117.jpg,cardboard,../data/raw\cardboard\cardboard117.jpg,1.67,False,JPEG,RGB,48.0,32.0,3.0,60.08
cardboard118.jpg,cardboard,../data/raw\cardboard\cardboard118.jpg,15.46,False,JPEG,RGB,512.0,384.0,3.0,64.75
cardboard119.jpg,cardboard,../data/raw\cardboard\cardboard119.jpg,25.5,False,JPEG,RGB,512.0,384.0,3.0,53.06
cardboard12.jpg,cardboard,../data/raw\cardboard\cardboard12.jpg,24.92,False,JPEG,RGB,512.0,384.0,3.0,37.66
cardboard120.jpg,cardboard,../data/raw\cardboard\cardboard120.jpg,25.77,False,JPEG,RGB,512.0,384.0,3.0,62.22
cardboard121.jpg,cardboard,../data/raw\cardboard\cardboard121.jpg,11.89,False,JPEG,RGB,512.0,384.0,3.0,57.49
cardboard122.jpg,cardboard,../data/raw\cardboard\cardboard122.jpg,20.8,False,JPEG,RGB,512.0,384.0,3.0,66.7
cardboard123.jpg,cardboard,../data/raw\cardboard\cardboard123.jpg,15.72,False,JPEG,RGB,512.0,384.0,3.0,67.95
cardboard124.jpg,cardboard,../data/raw\cardboard\cardboard124.jpg,17.99,False,JPEG,RGB,512.0,384.0,3.0,86.95
cardboard125.jpg,cardboard,../data/raw\cardboard\cardboard125.jpg,18.89,False,JPEG,RGB,512.0,384.0,3.0,66.49
cardboard126.jpg,cardboard,../data/raw\cardboard\cardboard126.jpg,21.06,False,JPEG,RGB,512.0,384.0,3.0,45.64
cardboard127.jpg,cardboard,../data/raw\cardboard\cardboard127.jpg,20.19,False,JPEG,RGB,512.0,384.0,3.0,48.63
cardboard128.jpg,cardboard,../data/raw\cardboard\cardboard128.jpg,13.24,False,JPEG,RGB,512.0,384.0,3.0,66.32
cardboard129.jpg,cardboard,../data/raw\cardboard\cardboard129.jpg,15.66,False,JPEG,RGB,512.0,384.0,3.0,56.09
cardboard13.jpg,cardboard,../data/raw\cardboard\cardboard13.jpg,32.12,False,JPEG,RGB,512.0,384.0,3.0,39.27
cardboard130.jpg,cardboard,../data/raw\cardboard\cardboard130.jpg,16.25,False,JPEG,RGB,512.0,384.0,3.0,49.97
cardboard131.jpg,cardboard,../data/raw\cardboard\cardboard131.jpg,13.42,False,JPEG,RGB,512.0,384.0,3.0,45.85
cardboard132.jpg,cardboard,../data/raw\cardboard\cardboard132.jpg,10.29,False,JPEG,RGB,512.0,384.0,3.0,35.2
cardboard133.jpg,cardboard,../data/raw\cardboard\cardboard133.jpg,8.73,False,JPEG,RGB,512.0,384.0,3.0,34.85
cardboard134.jpg,cardboard,../data/raw\cardboard\cardboard134.jpg,9.59,False,JPEG,RGB,512.0,384.0,3.0,38.97
cardboard135.jpg,cardboard,../data/raw\cardboard\cardboard135.jpg,19.64,False,JPEG,RGB,512.0,384.0,3.0,39.73
cardboard136.jpg,cardboard,../data/raw\cardboard\cardboard136.jpg,7.61,False,JPEG,RGB,512.0,384.0,3.0,25.9
cardboard137.jpg,cardboard,../data/raw\cardboard\cardboard137.jpg,7.54,False,JPEG,RGB,512.0,384.0,3.0,30.85
cardboard138.jpg,cardboard,../data/raw\cardboard\cardboard138.jpg,17.44,False,JPEG,RGB,512.0,384.0,3.0,43.55
cardboard139.jpg,cardboard,../data/raw\cardboard\cardboard139.jpg,21.69,False,JPEG,RGB,512.0,384.0,3.0,40.87
cardboard13v.png,cardboard,../data/raw\cardboard\cardboard13v.png,216.63,False,PNG,RGBA,512.0,384.0,4.0,38.42
cardboard14.jpg,cardboard,../data/raw\cardboard\cardboard14.jpg,14.31,False,JPEG,RGB,512.0,384.0,3.0,53.5
cardboard140.jpg,cardboard,../data/raw\cardboard\cardboard140.jpg,16.87,False,JPEG,RGB,512.0,384.0,3.0,57.2
cardboard141.jpg,cardboard,../data/raw\cardboard\cardboard141.jpg,24.29,False,JPEG,RGB,512.0,384.0,3.0,46.84
cardboard142.jpg,cardboard,../data/raw\cardboard\cardboard142.jpg,11.04,False,JPEG,RGB,512.0,384.0,3.0,44.92
cardboard143.jpg,cardboard,../data/raw\cardboard\cardboard143.jpg,15.66,False,JPEG,RGB,512.0,384.0,3.0,34.7
cardboard144.jpg,cardboard,../data/raw\cardboard\cardboard144.jpg,13.28,False,JPEG,RGB,512.0,384.0,3.0,50.53
cardboard145.jpg,cardboard,../data/raw\cardboard\cardboard145.jpg,12.02,False,JPEG,RGB,512.0,384.0,3.0,47.19
cardboard146.jpg,cardboard,../data/raw\cardboard\cardboard146.jpg,15.85,False,JPEG,RGB,512.0,384.0,3.0,56.67
cardboard147.jpg,cardboard,../data/raw\cardboard\cardboard147.jpg,15.88,False,JPEG,RGB,512.0,384.0,3.0,57.39
cardboard148.jpg,cardboard,../data/raw\cardboard\cardboard148.jpg,19.65,False,JPEG,RGB,512.0,384.0,3.0,54.53
cardboard149.jpg,cardboard,../data/raw\cardboard\cardboard149.jpg,13.98,False,JPEG,RGB,512.0,384.0,3.0,78.1
cardboard15.jpg,cardboard,../data/raw\cardboard\cardboard15.jpg,11.69,False,JPEG,RGB,512.0,384.0,3.0,46.62
cardboard150.jpg,cardboard,../data/raw\cardboard\cardboard150.jpg,10.84,False,JPEG,RGB,512.0,384.0,3.0,34.68
cardboard151.jpg,cardboard,../data/raw\cardboard\cardboard151.jpg,9.79,False,JPEG,RGB,512.0,384.0,3.0,32.68
cardboard152.jpg,cardboard,../data/raw\cardboard\cardboard152.jpg,9.17,False,JPEG,RGB,512.0,384.0,3.0,39.06
cardboard153.jpg,cardboard,../data/raw\cardboard\cardboard153.jpg,17.08,False,JPEG,RGB,512.0,384.0,3.0,45.72
cardboard154.jpg,cardboard,../data/raw\cardboard\cardboard154.jpg,14.51,False,JPEG,RGB,512.0,384.0,3.0,46.18
cardboard155.jpg,cardboard,../data/raw\cardboard\cardboard155.jpg,16.37,False,JPEG,RGB,512.0,384.0,3.0,41.6
cardboard156.jpg,cardboard,../data/raw\cardboard\cardboard156.jpg,14.34,False,JPEG,RGB,512.0,384.0,3.0,61.64
cardboard157.jpg,cardboard,../data/raw\cardboard\cardboard157.jpg,17.73,False,JPEG,RGB,512.0,384.0,3.0,44.56
cardboard158.jpg,cardboard,../data/raw\cardboard\cardboard158.jpg,18.49,False,JPEG,RGB,512.0,384.0,3.0,66.25
cardboard159.jpg,cardboard,../data/raw\cardboard\cardboard159.jpg,15.94,False,JPEG,RGB,512.0,384.0,3.0,54.98
cardboard16.jpg,cardboard,../data/raw\cardboard\cardboard16.jpg,12.45,False,JPEG,RGB,512.0,384.0,3.0,59.83
cardboard160.jpg,cardboard,../data/raw\cardboard\cardboard160.jpg,15.8,False,JPEG,RGB,512.0,384.0,3.0,56.72
cardboard161.jpg,cardboard,../data/raw\cardboard\cardboard161.jpg,24.14,False,JPEG,RGB,512.0,384.0,3.0,41.72
cardboard17.jpg,cardboard,../data/raw\cardboard\cardboard17.jpg,27.69,False,JPEG,RGB,512.0,384.0,3.0,29.37
cardboard18.jpg,cardboard,../data/raw\cardboard\cardboard18.jpg,21.97,False,JPEG,RGB,512.0,384.0,3.0,43.4
cardboard19.jpg,cardboard,../data/raw\cardboard\cardboard19.jpg,19.35,False,JPEG,RGB,512.0,384.0,3.0,45.29
cardboard2.jpg,cardboard,../data/raw\cardboard\cardboard2.jpg,17.69,False,JPEG,RGB,512.0,384.0,3.0,36.3
cardboard20.jpg,cardboard,../data/raw\cardboard\cardboard20.jpg,22.79,False,JPEG,RGB,512.0,384.0,3.0,29.78
cardboard21.jpg,cardboard,../data/raw\cardboard\cardboard21.jpg,15.15,False,JPEG,RGB,512.0,384.0,3.0,36.51
cardboard22.jpg,cardboard,../data/raw\cardboard\cardboard22.jpg,1.22,False,JPEG,RGB,32.0,32.0,3.0,44.03
cardboard23.jpg,cardboard,../data/raw\cardboard\cardboard23.jpg,18.99,False,JPEG,RGB,512.0,384.0,3.0,48.22
cardboard24.jpg,cardboard,../data/raw\cardboard\cardboard24.jpg,18.6,False,JPEG,RGB,512.0,384.0,3.0,41.56
cardboard25.jpg,cardboard,../data/raw\cardboard\cardboard25.jpg,25.21,False,JPEG,RGB,512.0,384.0,3.0,27.25
cardboard25g.png,cardboard,../data/raw\cardboard\cardboard25g.png,196.92,False,PNG,RGBA,512.0,384.0,4.0,29.42
cardboard26.jpg,cardboard,../data/raw\cardboard\cardboard26.jpg,13.76,False,JPEG,RGB,512.0,384.0,3.0,66.45
