nom,classe,chemin,taille_ko,corrompue,format,mode,largeur,hauteur,canaux,ecart_type,est_vide,raison_vide,resolution,trop_petite
cardboard1.jpg,cardboard,../data/raw\cardboard\cardboard1.jpg,16.93,False,JPEG,RGB,512.0,384.0,3.0,31.88,False,OK,512.0x384.0,False
cardboard10.jpg,cardboard,../data/raw\cardboard\cardboard10.jpg,21.17,False,JPEG,RGB,512.0,384.0,3.0,38.8,False,OK,512.0x384.0,False
cardboard100.jpg,cardboard,../data/raw\cardboard\cardboard100.jpg,14.54,False,JPEG,RGB,512.0,384.0,3.0,44.5,False,OK,512.0x384.0,False
cardboard101.jpg,cardboard,../data/raw\cardboard\cardboard101.jpg,13.95,False,JPEG,RGB,512.0,384.0,3.0,68.56,False,OK,512.0x384.0,False
cardboard102.jpg,cardboard,../data/raw\cardboard\cardboard102.jpg,17.59,False,JPEG,RGB,512.0,384.0,3.0,45.32,False,OK,512.0x384.0,False
cardboard103.jpg,cardboard,../data/raw\cardboard\cardboard103.jpg,20.61,False,JPEG,RGB,512.0,384.0,3.0,35.71,False,OK,512.0x384.0,False
cardboard104.jpg,cardboard,../data/raw\cardboard\cardboard104.jpg,16.82,False,JPEG,RGB,512.0,384.0,3.0,31.95,False,OK,512.0x384.0,False
cardboard105.jpg,cardboard,../data/raw\cardboard\cardboard105.jpg,23.84,False,JPEG,RGB,512.0,384.0,3.0,42.67,False,OK,512.0x384.0,False
cardboard106.jpg,cardboard,../data/raw\cardboard\cardboard106.jpg,25.77,False,JPEG,RGB,512.0,384.0,3.0,52.76,False,OK,512.0x384.0,False
cardboard107.jpg,cardboard,../data/raw\cardboard\cardboard107.jpg,24.77,False,JPEG,RGB,512.0,384.0,3.0,34.05,False,OK,512.0x384.0,False
cardboard108.jpg,cardboard,../data/raw\cardboard\cardboard108.jpg,24.96,False,JPEG,RGB,512.0,384.0,3.0,34.76,False,OK,512.0x384.0,False
cardboard109.jpg,cardboard,../data/raw\cardboard\cardboard109.jpg,16.25,False,JPEG,RGB,512.0,384.0,3.0,47.79,False,OK,512.0x384.0,False
cardboard11.jpg,cardboard,../data/raw\cardboard\cardboard11.jpg,19.97,False,JPEG,RGB,512.0,384.0,3.0,45.95,False,OK,512.0x384.0,False
cardboard110.jpg,cardboard,../data/raw\cardboard\cardboard110.jpg,16.96,False,JPEG,RGB,512.0,384.0,3.0,17.84,False,OK,512.0x384.0,False
cardboard111.jpg,cardboard,../data/raw\cardboard\cardboard111.jpg,24.3,False,JPEG,RGB,512.0,384.0,3.0,44.62,False,OK,512.0x384.0,False
cardboard112.jpg,cardboard,../data/raw\cardboard\cardboard112.jpg,18.57,False,JPEG,RGB,512.0,384.0,3.0,66.36,False,OK,512.0x384.0,False
cardboard113.jpg,cardboard,../data/raw\cardboard\cardboard113.jpg,19.67,False,JPEG,RGB,512.0,384.0,3.0,51.16,False,OK,512.0x384.0,False
cardboard114.jpg,cardboard,../data/raw\cardboard\cardboard114.jpg,16.08,False,JPEG,RGB,512.0,384.0,3.0,46.98,False,OK,512.0x384.0,False
cardboard115.jpg,cardboard,../data/raw\cardboard\cardboard115.jpg,15.92,False,JPEG,RGB,512.0,384.0,3.0,35.88,False,OK,512.0x384.0,False
cardboard116.jpg,cardboard,../data/raw\cardboard\cardboard116.jpg,14.89,False,JPEG,RGB,512.0,384.0,3.0,59.75,False,OK,512.0x384.0,False
cardboard118.jpg,cardboard,../data/raw\cardboard\cardboard118.jpg,15.46,False,JPEG,RGB,512.0,384.0,3.0,64.75,False,OK,512.0x384.0,False
cardboard119.jpg,cardboard,../data/raw\cardboard\cardboard119.jpg,25.5,False,JPEG,RGB,512.0,384.0,3.0,53.06,False,OK,512.0x384.0,False
cardboard12.jpg,cardboard,../data/raw\cardboard\cardboard12.jpg,24.92,False,JPEG,RGB,512.0,384.0,3.0,37.66,False,OK,512.0x384.0,False
cardboard120.jpg,cardboard,../data/raw\cardboard\cardboard120.jpg,25.77,False,JPEG,RGB,512.0,384.0,3.0,62.22,False,OK,512.0x384.0,False
cardboard121.jpg,cardboard,../data/raw\cardboard\cardboard121.jpg,11.89,False,JPEG,RGB,512.0,384.0,3.0,57.49,False,OK,512.0x384.0,False
cardboard122.jpg,cardboard,../data/raw\cardboard\cardboard122.jpg,20.8,False,JPEG,RGB,512.0,384.0,3.0,66.7,False,OK,512.0x384.0,False
cardboard123.jpg,cardboard,../data/raw\cardboard\cardboard123.jpg,15.72,False,JPEG,RGB,512.0,384.0,3.0,67.95,False,OK,512.0x384.0,False
cardboard124.jpg,cardboard,../data/raw\cardboard\cardboard124.jpg,17.99,False,JPEG,RGB,512.0,384.0,3.0,86.95,False,OK,512.0x384.0,False
cardboard125.jpg,cardboard,../data/raw\cardboard\cardboard125.jpg,18.89,False,JPEG,RGB,512.0,384.0,3.0,66.49,False,OK,512.0x384.0,False
cardboard126.jpg,cardboard,../data/raw\cardboard\cardboard126.jpg,21.06,False,JPEG,RGB,512.0,384.0,3.0,45.64,False,OK,512.0x384.0,False
cardboard127.jpg,cardboard,../data/raw\cardboard\cardboard127.jpg,20.19,False,JPEG,RGB,512.0,384.0,3.0,48.63,False,OK,512.0x384.0,False
cardboard128.jpg,cardboard,../data/raw\cardboard\cardboard128.jpg,13.24,False,JPEG,RGB,512.0,384.0,3.0,66.32,False,OK,512.0x384.0,False
cardboard129.jpg,cardboard,../data/raw\cardboard\cardboard129.jpg,15.66,False,JPEG,RGB,512.0,384.0,3.0,56.09,False,OK,512.0x384.0,False
cardboard13.jpg,cardboard,../data/raw\cardboard\cardboard13.jpg,32.12,False,JPEG,RGB,512.0,384.0,3.0,39.27,False,OK,512.0x384.0,False
cardboard130.jpg,cardboard,../data/raw\cardboard\cardboard130.jpg,16.25,False,JPEG,RGB,512.0,384.0,3.0,49.97,False,OK,512.0x384.0,False
cardboard131.jpg,cardboard,../data/raw\cardboard\cardboard131.jpg,13.42,False,JPEG,RGB,512.0,384.0,3.0,45.85,False,OK,512.0x384.0,False
cardboard132.jpg,cardboard,../data/raw\cardboard\cardboard132.jpg,10.29,False,JPEG,RGB,512.0,384.0,3.0,35.2,False,OK,512.0x384.0,False
cardboard133.jpg,cardboard,../data/raw\cardboard\cardboard133.jpg,8.73,False,JPEG,RGB,512.0,384.0,3.0,34.85,False,OK,512.0x384.0,False
cardboard134.jpg,cardboard,../data/raw\cardboard\cardboard134.jpg,9.59,False,JPEG,RGB,512.0,384.0,3.0,38.97,False,OK,512.0x384.0,False
cardboard135.jpg,cardboard,../data/raw\cardboard\cardboard135.jpg,19.64,False,JPEG,RGB,512.0,384.0,3.0,39.73,False,OK,512.0x384.0,False
cardboard136.jpg,cardboard,../data/raw\cardboard\cardboard136.jpg,7.61,False,JPEG,RGB,512.0,384.0,3.0,25.9,False,OK,512.0x384.0,False
cardboard137.jpg,cardboard,../data/raw\cardboard\cardboard137.jpg,7.54,False,JPEG,RGB,512.0,384.0,3.0,30.85,False,OK,512.0x384.0,False
cardboard138.jpg,cardboard,../data/raw\cardboard\cardboard138.jpg,17.44,False,JPEG,RGB,512.0,384.0,3.0,43.55,False,OK,512.0x384.0,False
cardboard139.jpg,cardboard,../data/raw\cardboard\cardboard139.jpg,21.69,False,JPEG,RGB,512.0,384.0,3.0,40.87,False,OK,512.0x384.0,False
cardboard13v.png,cardboard,../data/raw\cardboard\cardboard13v.png,216.63,False,PNG,RGBA,512.0,384.0,4.0,38.42,False,OK,512.0x384.0,False
cardboard14.jpg,cardboard,../data/raw\cardboard\cardboard14.jpg,14.31,False,JPEG,RGB,512.0,384.0,3.0,53.5,False,OK,512.0x384.0,False
cardboard140.jpg,cardboard,../data/raw\cardboard\cardboard140.jpg,16.87,False,JPEG,RGB,512.0,384.0,3.0,57.2,False,OK,512.0x384.0,False
cardboard141.jpg,cardboard,../data/raw\cardboard\cardboard141.jpg,24.29,False,JPEG,RGB,512.0,384.0,3.0,46.84,False,OK,512.0x384.0,False
cardboard142.jpg,cardboard,../data/raw\cardboard\cardboard142.jpg,11.04,False,JPEG,RGB,512.0,384.0,3.0,44.92,False,OK,512.0x384.0,False
cardboard143.jpg,cardboard,../data/raw\cardboard\cardboard143.jpg,15.66,False,JPEG,RGB,512.0,384.0,3.0,34.7,False,OK,512.0x384.0,False
